county,date,order_closure,order_gath,order_lab,order_masks,order_quarres,order_quarvis,order_shome,order_bubble
Alpine,2020-03-25,7,10,0,0,2,0,10,0
Alpine,2020-03-26,7,10,0,0,2,0,10,0
Alpine,2020-03-27,7,10,0,0,2,0,10,0
Alpine,2020-03-28,7,10,0,0,2,0,10,0
Alpine,2020-03-29,7,10,0,0,2,0,10,0
Alpine,2020-03-30,7,10,0,0,2,0,10,0
Alpine,2020-03-31,7,10,0,0,2,0,10,0
Alpine,2020-04-01,7,10,0,0,2,0,10,0
Alpine,2020-04-02,7,10,0,1,2,0,10,0
Alpine,2020-04-03,7,10,0,1,2,0,10,0
Alpine,2020-04-04,7,10,0,1,2,0,10,0
Alpine,2020-04-05,7,10,0,1,2,0,10,0
Alpine,2020-04-06,7,10,0,1,2,0,10,0
Alpine,2020-04-07,7,10,0,1,2,0,10,0
Alpine,2020-04-08,7,10,0,1,2,0,10,0
Alpine,2020-04-09,7,10,0,1,2,0,10,0
Alpine,2020-04-10,7,10,0,1,2,0,10,0
Alpine,2020-04-11,7,10,0,1,2,0,10,0
Alpine,2020-04-12,7,10,0,1,2,0,10,0
Alpine,2020-04-13,7,10,0,1,2,0,10,0
Alpine,2020-04-14,7,10,0,1,2,0,10,0
Alpine,2020-04-15,7,10,0,1,2,0,10,0
Alpine,2020-04-16,7,10,0,1,2,0,10,0
Alpine,2020-04-17,7,10,0,1,2,0,10,0
Alpine,2020-04-18,7,10,0,1,2,0,10,0
Alpine,2020-04-19,7,10,0,1,2,0,10,0
Alpine,2020-04-20,7,10,0,1,2,0,10,0
Alpine,2020-04-21,7,10,0,1,2,0,10,0
Alpine,2020-04-22,7,10,0,1,2,0,10,0
Alpine,2020-04-23,7,10,0,1,2,0,10,0
Alpine,2020-04-24,7,10,0,1,2,0,10,0
Alpine,2020-04-25,7,10,0,1,2,0,10,0
Alpine,2020-04-26,7,10,0,1,2,0,10,0
Alpine,2020-04-27,7,10,0,1,2,0,10,0
Alpine,2020-04-28,7,10,0,1,2,0,10,0
Alpine,2020-04-29,7,10,0,1,2,0,10,0
Alpine,2020-04-30,7,10,0,1,2,0,10,0
Alpine,2020-05-01,7,10,0,1,2,0,10,0
Alpine,2020-05-02,7,10,0,1,2,0,10,0
Alpine,2020-05-03,7,10,0,1,2,0,10,0
Alpine,2020-05-04,7,10,0,1,2,0,10,0
Alpine,2020-05-05,7,10,0,1,2,0,10,0
Alpine,2020-05-06,7,10,0,1,2,0,10,0
Alpine,2020-05-07,7,10,0,1,2,0,10,0
Alpine,2020-05-08,7,10,0,1,2,0,10,0
Alpine,2020-05-09,7,10,0,1,2,0,10,0
Alpine,2020-05-10,7,10,0,1,2,0,10,0
Alpine,2020-05-11,7,10,0,1,2,0,10,0
Alpine,2020-05-12,7,10,0,1,2,0,10,0
Alpine,2020-05-13,7,10,0,1,2,0,10,0
Alpine,2020-05-14,7,10,0,1,2,0,10,0
